aid,cc,d,au,ar,iu,ir
1477376905,WW,2023-09-01T00:00:00Z,678,3504,4541,55580
1477376905,WW,2023-09-02T00:00:00Z,405,10622,3162,61333
1477376905,WW,2023-09-03T00:00:00Z,478,3312,110335,9185
1477376905,WW,2023-09-04T00:00:00Z,3734,123780,492,10336
1477376905,WW,2023-09-05T00:00:00Z,4670,93364,476,14783
1477376905,WW,2023-09-06T00:00:00Z,533,4025,86753,7949
1477376905,WW,2023-09-07T00:00:00Z,511,4083,105881,22718
1477376905,WW,2023-09-08T00:00:00Z,530,4160,55208,15379
1477376905,WW,2023-09-09T00:00:00Z,3526,85224,453,12004
1477376905,WW,2023-09-10T00:00:00Z,465,3359,67281,10431
1477376905,WW,2023-09-11T00:00:00Z,4008,138220,531,9277
1477376905,WW,2023-09-12T00:00:00Z,532,4128,92250,11977
1477376905,WW,2023-09-13T00:00:00Z,545,3979,65165,4455
1477376905,WW,2023-09-14T00:00:00Z,463,3782,75125,8880
1477376905,WW,2023-09-15T00:00:00Z,493,3755,117289,7466
1477376905,WW,2023-09-16T00:00:00Z,497,3800,90430,6725
1477376905,WW,2023-09-17T00:00:00Z,3318,104523,460,15333
1477376905,WW,2023-09-18T00:00:00Z,3279,135841,514,6231
1477376905,WW,2023-09-19T00:00:00Z,595,3781,112740,9610
1477376905,WW,2023-09-20T00:00:00Z,642,3621,76415,3810
1477376905,WW,2023-09-21T00:00:00Z,4028,79395,732,10041
1477376905,WW,2023-09-22T00:00:00Z,686,3745,57761,9449
1477376905,WW,2023-09-23T00:00:00Z,600,3147,116255,4582
1477376905,WW,2023-09-24T00:00:00Z,625,3144,91401,5152
1477376905,WW,2023-09-25T00:00:00Z,583,3275,65010,7100
1477376905,WW,2023-09-26T00:00:00Z,4020,67178,3969,616
1477376905,WW,2023-09-27T00:00:00Z,528,5388,3901,116271
1477376905,WW,2023-09-28T00:00:00Z,553,11092,4173,169933
1477376905,WW,2023-09-29T00:00:00Z,491,8741,4770,71107
1477376905,WW,2023-09-30T00:00:00Z,504,6347,3708,125276
1477376905,WW,2023-10-01T00:00:00Z,465,8916,3536,111646
1477376905,WW,2023-10-02T00:00:00Z,487,7165,3822,79915
1477376905,WW,2023-10-03T00:00:00Z,448,4769,3990,63112
1477376905,WW,2023-10-04T00:00:00Z,3934,92066,468,4899
1477376905,WW,2023-10-05T00:00:00Z,4020,141079,459,22695
1477376905,WW,2023-10-06T00:00:00Z,3945,83734,488,5463
1477376905,WW,2023-10-07T00:00:00Z,3546,110398,8663,398
1477376905,WW,2023-10-08T00:00:00Z,435,3396,89668,9887
1477376905,WW,2023-10-09T00:00:00Z,433,3270,144768,6156
1477376905,WW,2023-10-10T00:00:00Z,468,3794,135884,6682
1477376905,WW,2023-10-11T00:00:00Z,3804,77923,502,5299
1477376905,WW,2023-10-12T00:00:00Z,459,4263,144408,17002
1477376905,WW,2023-10-13T00:00:00Z,632,4317,112804,11592
1477376905,WW,2023-10-14T00:00:00Z,461,3496,109810,6342
1477376905,WW,2023-10-15T00:00:00Z,453,3412,60556,8091
1477376905,WW,2023-10-16T00:00:00Z,3907,68685,514,6627
1477376905,WW,2023-10-17T00:00:00Z,532,3912,66445,6287
1477376905,WW,2023-10-18T00:00:00Z,556,4094,79154,5206
1477376905,WW,2023-10-19T00:00:00Z,3991,93109,455,9583
1477376905,WW,2023-10-20T00:00:00Z,486,3889,109213,8551
1477376905,WW,2023-10-21T00:00:00Z,3259,98081,470,7410
1477376905,WW,2023-10-22T00:00:00Z,3526,57063,547,8502
1477376905,WW,2023-10-23T00:00:00Z,478,3351,62140,3778
1477376905,WW,2023-10-24T00:00:00Z,3918,89617,491,4647
1477376905,WW,2023-10-25T00:00:00Z,478,3941,50551,5254
1477376905,WW,2023-10-26T00:00:00Z,420,3683,273764,11249
1477376905,WW,2023-10-27T00:00:00Z,9977,3871,124706,465
1477376905,WW,2023-10-28T00:00:00Z,436,7486,2996,62891
1477376905,WW,2023-10-29T00:00:00Z,9715,3188,70644,429
1477376905,WW,2023-10-30T00:00:00Z,6251,3173,79513,366
1477376905,WW,2023-10-31T00:00:00Z,3880,98832,405,7830
1477376905,WW,2023-11-01T00:00:00Z,6058,4040,62465,432
1477376905,WW,2023-11-02T00:00:00Z,13053,3783,81386,455
1477376905,WW,2023-11-03T00:00:00Z,3853,57557,493,10152
1477376905,WW,2023-11-04T00:00:00Z,3289,77880,424,5858
1477376905,WW,2023-11-05T00:00:00Z,424,3287,99747,10436
1477376905,WW,2023-11-06T00:00:00Z,3685,136057,423,7130
1477376905,WW,2023-11-07T00:00:00Z,3991,157197,392,11449
1477376905,WW,2023-11-08T00:00:00Z,4154,96198,396,7429
1477376905,WW,2023-11-09T00:00:00Z,3977,77903,453,14154
1477376905,WW,2023-11-10T00:00:00Z,3654,63097,412,12833
1477376905,WW,2023-11-11T00:00:00Z,410,3174,55816,8766
1477376905,WW,2023-11-12T00:00:00Z,420,3311,87376,5779
1477376905,WW,2023-11-13T00:00:00Z,3485,60211,7209,438
1477376905,WW,2023-11-14T00:00:00Z,4021,149522,5207,429
1477376905,WW,2023-11-15T00:00:00Z,4398,96096,476,4580
1477376905,WW,2023-11-16T00:00:00Z,4018,102319,594,11165
1477376905,WW,2023-11-17T00:00:00Z,4137,70576,10663,426
1477376905,WW,2023-11-18T00:00:00Z,444,3558,92864,6711
1477376905,WW,2023-11-19T00:00:00Z,3393,103527,421,15039
1477376905,WW,2023-11-20T00:00:00Z,3479,137617,9257,411
1477376905,WW,2023-11-21T00:00:00Z,3997,113607,483,10723
1477376905,WW,2023-11-22T00:00:00Z,4077,54104,517,5969
