aid,cc,d,iu,au,ar,ir
1477376905,WW,2021-09-01T00:00:00Z,2364,394,809,20991
1477376905,WW,2021-09-02T00:00:00Z,2428,283,2818,35835
1477376905,WW,2021-09-03T00:00:00Z,2633,535,912,31451
1477376905,WW,2021-09-04T00:00:00Z,2538,353,2425,27935
1477376905,WW,2021-09-05T00:00:00Z,2709,8529,16911,299
1477376905,WW,2021-09-06T00:00:00Z,257,2474,4301,19742
1477376905,WW,2021-09-07T00:00:00Z,3141,204,3207,180477
1477376905,WW,2021-09-08T00:00:00Z,2742,336,2332,34348
1477376905,WW,2021-09-09T00:00:00Z,2771,244,3751,234048
1477376905,WW,2021-09-10T00:00:00Z,2539,313,1662,37652
1477376905,WW,2021-09-11T00:00:00Z,252,2414,2555,40723
1477376905,WW,2021-09-12T00:00:00Z,259,2440,2323,88316
1477376905,WW,2021-09-13T00:00:00Z,2663,320,11395,42810
1477376905,WW,2021-09-14T00:00:00Z,3415,280,4783,82158
1477376905,WW,2021-09-15T00:00:00Z,3295,319,2369,30554
1477376905,WW,2021-09-16T00:00:00Z,3171,245,4199,158794
1477376905,WW,2021-09-17T00:00:00Z,2942,534,2580,51536
1477376905,WW,2021-09-18T00:00:00Z,2662,320,1959,47665
1477376905,WW,2021-09-19T00:00:00Z,2392,1458,39373,357
1477376905,WW,2021-09-20T00:00:00Z,2183,344,4290,30244
1477376905,WW,2021-09-21T00:00:00Z,2219,321,2646,85804
1477376905,WW,2021-09-22T00:00:00Z,1801,485,3035,48124
1477376905,WW,2021-09-23T00:00:00Z,1917,290,6821,93172
1477376905,WW,2021-09-24T00:00:00Z,1985,253,9440,55550
1477376905,WW,2021-09-25T00:00:00Z,2040,235,7690,34885
1477376905,WW,2021-09-26T00:00:00Z,2141,4747,28278,231
1477376905,WW,2021-09-27T00:00:00Z,2283,234,9237,28592
1477376905,WW,2021-09-28T00:00:00Z,2885,165,4718,139418
1477376905,WW,2021-09-29T00:00:00Z,2946,389,3780,37132
1477376905,WW,2021-09-30T00:00:00Z,292,3004,2776,106945
1477376905,WW,2021-10-01T00:00:00Z,2874,407,2815,83576
1477376905,WW,2021-10-02T00:00:00Z,305,2883,1886,53590
1477376905,WW,2021-10-03T00:00:00Z,2510,229,2214,44917
1477376905,WW,2021-10-04T00:00:00Z,2410,282,6822,65392
1477376905,WW,2021-10-05T00:00:00Z,180,2846,12446,110116
1477376905,WW,2021-10-06T00:00:00Z,2752,497,2899,37088
1477376905,WW,2021-10-07T00:00:00Z,286,2892,6156,77010
1477376905,WW,2021-10-08T00:00:00Z,2908,461,3766,40715
1477376905,WW,2021-10-09T00:00:00Z,229,2698,2892,88694
1477376905,WW,2021-10-10T00:00:00Z,2161,278,2834,22501
1477376905,WW,2021-10-11T00:00:00Z,324,2244,4188,28205
1477376905,WW,2021-10-12T00:00:00Z,274,3860,6925,41563
1477376905,WW,2021-10-13T00:00:00Z,19171,472,2916,8138
1477376905,WW,2021-10-14T00:00:00Z,307,2904,69179,6728
